IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
TATSIANA,KOBIETA,2472
ANASTASIYA,KOBIETA,2447
SOPHIE,KOBIETA,2386
RUSLANA,KOBIETA,2379
IRMGARDA,KOBIETA,2353
INEZ,KOBIETA,2348
OLESIA,KOBIETA,2335
MARIYA,KOBIETA,2323
LEONIA,KOBIETA,2322
HELGA,KOBIETA,2318
STELLA,KOBIETA,2297
EMILY,KOBIETA,2290
NATALLIA,KOBIETA,2262
RAISA,KOBIETA,2256
VOLHA,KOBIETA,2249
EULALIA,KOBIETA,2245
ZINAIDA,KOBIETA,2221
MARINA,KOBIETA,2215
KARYNA,KOBIETA,2199
POLINA,KOBIETA,2191
JAROSŁAWA,KOBIETA,2183
KATSIARYNA,KOBIETA,2177
ANGELA,KOBIETA,2164
IRINA,KOBIETA,2159
NATALIYA,KOBIETA,2149
MICHELLE,KOBIETA,2145
OLA,KOBIETA,2139
PRAKSEDA,KOBIETA,2127
VITA,KOBIETA,2124
TOLA,KOBIETA,2102
MARHARYTA,KOBIETA,2078
LIDIIA,KOBIETA,2054
LEA,KOBIETA,2053
SARAH,KOBIETA,2051
BERNARDYNA,KOBIETA,1972
OTOLIA,KOBIETA,1959
EUFEMIA,KOBIETA,1953
MIRIAM,KOBIETA,1915
ANTONIA,KOBIETA,1906
JAŚMINA,KOBIETA,1890
ERIKA,KOBIETA,1887
INES,KOBIETA,1870
KRISTINA,KOBIETA,1866
ULIANA,KOBIETA,1855
MYROSLAVA,KOBIETA,1846
IZA,KOBIETA,1841
ROMA,KOBIETA,1834
GALYNA,KOBIETA,1827
ZHANNA,KOBIETA,1811
EVA,KOBIETA,1793
NATALIE,KOBIETA,1776
AUGUSTYNA,KOBIETA,1775
ARLETTA,KOBIETA,1765
MARIETTA,KOBIETA,1752
EMA,KOBIETA,1744
ANHELINA,KOBIETA,1741
ANZHELA,KOBIETA,1718
GRETA,KOBIETA,1714
MANUELA,KOBIETA,1709
DARYNA,KOBIETA,1695
KLAUDYNA,KOBIETA,1687
ANA,KOBIETA,1686
BENEDYKTA,KOBIETA,1681
BLANDYNA,KOBIETA,1666
LUBOMIRA,KOBIETA,1623
MILA,KOBIETA,1619
WINCENTYNA,KOBIETA,1608
LARA,KOBIETA,1594
KORNELA,KOBIETA,1591
DOBROSŁAWA,KOBIETA,1582
DARYA,KOBIETA,1567
GABRYELA,KOBIETA,1540
ALISA,KOBIETA,1534
KSENIIA,KOBIETA,1530
WILHELMINA,KOBIETA,1507
WALESKA,KOBIETA,1477
SOPHIA,KOBIETA,1473
LIGIA,KOBIETA,1471
MARYIA,KOBIETA,1462
ANDREA,KOBIETA,1446
HANKA,KOBIETA,1443
ANASTASIA,KOBIETA,1438
SCHOLASTYKA,KOBIETA,1437
IULIIA,KOBIETA,1434
MARTINA,KOBIETA,1418
LIVIA,KOBIETA,1391
JÓZEFINA,KOBIETA,1390
VERONICA,KOBIETA,1361
ERNESTYNA,KOBIETA,1356
SVIATLANA,KOBIETA,1354
WIRGINIA,KOBIETA,1351
ALA,KOBIETA,1349
TETYANA,KOBIETA,1344
BOGDANA,KOBIETA,1341
GALINA,KOBIETA,1334
DARIIA,KOBIETA,1329
IRMA,KOBIETA,1294
BENIGNA,KOBIETA,1292
INGEBORGA,KOBIETA,1291
LINDA,KOBIETA,1282
MALINA,KOBIETA,1269
GLORIA,KOBIETA,1259
NIKOL,KOBIETA,1254
VIKTORYIA,KOBIETA,1246
NICOL,KOBIETA,1245
GANNA,KOBIETA,1244
HERMINA,KOBIETA,1243
KIRA,KOBIETA,1238
KSAWERA,KOBIETA,1237
ISABELLA,KOBIETA,1236
SVETLANA,KOBIETA,1234
JENNIFER,KOBIETA,1228
WANESA,KOBIETA,1223
CELESTYNA,KOBIETA,1219
MILANA,KOBIETA,1212
PATRICIA,KOBIETA,1209
BOHDANA,KOBIETA,1200
DŻESIKA,KOBIETA,1190
SERAFINA,KOBIETA,1187
MIRA,KOBIETA,1180
JANA,KOBIETA,1178
MAJKA,KOBIETA,1176
LIUDMILA,KOBIETA,1171
MARITA,KOBIETA,1165
SIMONA,KOBIETA,1128
ADAMINA,KOBIETA,1113
