IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ERWIN,MĘŻCZYZNA,7726
YEVHENII,MĘŻCZYZNA,7693
DORIAN,MĘŻCZYZNA,7582
TARAS,MĘŻCZYZNA,7357
MARCELI,MĘŻCZYZNA,7332
OLIVER,MĘŻCZYZNA,7232
MARTIN,MĘŻCZYZNA,6917
CYPRIAN,MĘŻCZYZNA,6884
WALERIAN,MĘŻCZYZNA,6883
NATANIEL,MĘŻCZYZNA,6857
DENIS,MĘŻCZYZNA,6583
SIARHEI,MĘŻCZYZNA,6470
HERBERT,MĘŻCZYZNA,6382
MICHAEL,MĘŻCZYZNA,6338
KLEMENS,MĘŻCZYZNA,6334
VIACHESLAV,MĘŻCZYZNA,6309
MILAN,MĘŻCZYZNA,5993
STANISLAV,MĘŻCZYZNA,5973
SAMUEL,MĘŻCZYZNA,5934
MIESZKO,MĘŻCZYZNA,5920
BRAJAN,MĘŻCZYZNA,5882
SERGIUSZ,MĘŻCZYZNA,5831
DZMITRY,MĘŻCZYZNA,5719
OLEG,MĘŻCZYZNA,5367
KOSTIANTYN,MĘŻCZYZNA,5362
KEVIN,MĘŻCZYZNA,5034
WALTER,MĘŻCZYZNA,4983
IWO,MĘŻCZYZNA,4899
FERDYNAND,MĘŻCZYZNA,4893
GINTER,MĘŻCZYZNA,4817
BENIAMIN,MĘŻCZYZNA,4811
ANATOL,MĘŻCZYZNA,4798
WAWRZYNIEC,MĘŻCZYZNA,4784
ARIEL,MĘŻCZYZNA,4784
EMILIAN,MĘŻCZYZNA,4783
HELMUT,MĘŻCZYZNA,4764
STEPAN,MĘŻCZYZNA,4582
KORDIAN,MĘŻCZYZNA,4541
IZYDOR,MĘŻCZYZNA,4527
ROLAND,MĘŻCZYZNA,4490
BAZYLI,MĘŻCZYZNA,4487
VALENTYN,MĘŻCZYZNA,4456
JEREMI,MĘŻCZYZNA,4419
EDWIN,MĘŻCZYZNA,4380
OLGIERD,MĘŻCZYZNA,4380
LONGIN,MĘŻCZYZNA,4274
SERGII,MĘŻCZYZNA,4169
NAZAR,MĘŻCZYZNA,4162
ILLIA,MĘŻCZYZNA,4156
PAVEL,MĘŻCZYZNA,4067
